date,size
1973-01-01,1525
1974-01-01,1560
1975-01-01,1540
1976-01-01,1595
1977-01-01,1605
1978-01-01,1650
1979-01-01,1650
1980-01-01,1585
1981-01-01,1580
1982-01-01,1540
1983-01-01,1585
1984-01-01,1600
1985-01-01,1590
1986-01-01,1675
1987-01-01,1775
1988-01-01,1800
1989-01-01,1880
1990-01-01,1890
1991-01-01,1900
1992-01-01,1900
1993-01-01,1900
1994-01-01,1900
1995-01-01,1900
1996-01-01,1880
1997-01-01,1920
1998-01-01,1950
1999-01-01,2100
2000-01-01,2077
2001-01-01,2099
2002-01-01,2134
2003-01-01,2125
2004-01-01,2169
2005-01-01,2235
2006-01-01,2237
2007-01-01,2235
2008-01-01,2234
2009-01-01,2202
2010-01-01,2255
2011-01-01,2295
2012-01-01,2390
2013-01-01,2478
2014-01-01,2526
2015-01-01,2524
2016-01-01,2466
2017-01-01,2457
2018-01-01,2435
2019-01-01,2322
2020-01-01,2333
2021-01-01,2250
