extract_date,stay_length,dep_cost,ret_cost,total_cost
2022-07-13,7,212,258,530
2022-07-14,7,212,258,530
2022-07-15,7,212,258,530
2022-07-16,7,212,258,530
2022-07-17,7,212,258,530
2022-07-19,7,212,269,530
2022-07-20,7,212,269,481
2022-07-25,7,212,269,481
2022-07-28,7,212,295,507
2022-08-01,7,212,295,507
2022-08-02,7,212,295,507
2022-08-04,7,212,216,428
2022-08-05,7,212,295,507
2022-08-06,7,212,295,507
2022-08-07,7,212,295,507
2022-08-08,7,212,295,507
2022-08-09,7,212,295,507
2022-08-11,7,212,282,494
2022-08-12,7,212,282,494
2022-08-14,7,212,282,494
2022-08-15,7,212,282,494
2022-08-17,7,212,282,494
2022-08-20,7,212,318,530
2022-08-21,7,194,229,423
2022-08-22,7,184,254,448
2022-08-23,7,184,254,438
2022-08-24,7,212,318,534
2022-08-25,7,273,313,603
2022-08-26,7,273,313,603
2022-08-27,7,273,313,603
2022-08-28,7,273,313,603
2022-08-29,7,273,313,603
2022-08-30,7,273,313,603
2022-08-31,7,290,313,603
2022-09-01,7,290,313,603
2022-09-02,7,290,313,603
2022-09-03,7,290,281,571
2022-09-04,7,290,281,571
2022-09-05,7,290,281,571
2022-09-06,7,290,281,571
2022-09-07,7,212,318,530
2022-09-08,7,212,282,494
2022-09-09,7,212,282,494
2022-09-10,7,212,282,494
2022-09-11,7,212,318,530
